71	56	54	48	53	47	70	48	64	60	48	56	53	42	52	57	55	48	44	60	48	51	48	61	57	47	40	42	51	50	51	54	37	55	40	34	50	54	53	46	48	63	54	42	46	51	44	49	45	59	58	58	47	64	50	68	65	58	61	60	39	54	58	45	56	52	56	42	57	66	55	48	44	63	47	57	64	60	63	53	53	61	65	54	54	67	58	52	61	54	50	61	50	60	46	60	78	161	205	244	240	217	211	204	187	149	145	150	160	186	175	139	118	101	91	140	152	117	124	101	137	117	164	149	123	116	112	120	130	152
66	79	61	56	72	56	48	56	56	64	66	61	60	68	59	67	56	50	46	63	57	43	45	56	58	55	56	52	46	50	54	43	51	64	59	46	48	52	64	41	59	45	40	43	59	52	72	55	49	62	46	64	63	50	54	73	48	50	41	57	60	46	43	71	53	50	66	58	51	34	59	48	50	55	76	56	70	55	47	59	63	68	57	52	45	63	53	62	65	56	50	69	63	41	60	55	68	59	120	153	180	201	215	236	211	219	229	225	136	107	126	149	172	158	115	116	98	102	96	122	112	109	142	144	126	136	132	133	146	128
53	66	60	56	57	58	61	60	50	66	55	51	70	55	58	52	49	56	50	55	52	49	44	50	59	52	68	65	55	44	57	48	55	51	49	53	54	60	60	62	60	53	42	49	54	58	50	55	43	68	62	50	41	51	77	60	49	53	52	49	56	53	44	57	50	66	57	73	40	55	52	55	66	56	44	55	66	58	59	59	50	50	47	59	60	53	55	57	70	59	58	55	51	63	47	57	59	69	118	138	131	96	137	142	200	214	208	217	217	206	130	125	133	155	204	200	145	103	91	107	108	99	97	122	133	129	119	121	120	113
58	54	47	63	58	62	61	56	53	49	55	49	65	56	71	51	61	62	57	74	61	40	55	62	61	46	44	51	56	56	63	51	57	48	50	60	56	53	47	48	45	48	52	58	53	56	52	50	44	71	56	48	50	60	52	63	54	51	68	54	49	52	56	72	58	54	63	50	51	34	63	69	56	63	62	61	52	47	56	42	67	60	53	61	65	68	50	65	42	55	49	50	70	44	49	61	66	88	139	128	74	52	59	49	73	177	179	198	217	209	211	189	157	124	110	145	134	171	153	132	86	102	99	105	111	124	100	139	143	138
68	61	50	52	49	58	66	50	57	66	59	44	57	58	45	55	58	54	62	52	60	49	59	58	53	41	52	63	50	53	64	53	69	52	53	56	58	42	52	36	49	51	53	57	54	63	49	60	36	59	48	54	56	51	53	50	40	59	49	60	48	58	69	41	53	59	61	48	46	48	62	51	56	53	48	59	59	44	47	58	50	66	52	58	62	63	80	64	51	54	65	62	58	54	56	61	53	77	81	69	55	63	62	47	71	68	72	68	80	187	202	224	215	196	156	150	133	103	144	156	170	145	131	113	100	101	97	129	102	124
54	53	55	49	51	58	63	60	46	51	58	61	48	50	63	52	62	57	58	61	62	52	54	61	46	51	51	63	48	56	53	65	45	56	60	54	40	52	47	45	49	57	61	56	62	59	53	50	53	56	38	34	56	57	51	52	47	58	46	61	45	60	65	61	58	62	49	55	66	47	45	56	42	33	60	65	51	46	54	49	73	39	43	53	59	46	60	61	53	62	52	58	66	58	60	46	55	50	36	43	55	54	49	57	56	56	54	57	47	85	123	165	237	249	200	217	167	166	143	120	145	173	167	175	129	112	119	98	124	125
55	49	58	65	68	57	57	50	47	40	56	61	51	44	45	68	68	46	57	62	65	65	62	54	60	72	54	47	62	51	41	61	58	50	57	48	52	58	62	48	60	64	54	46	50	66	50	52	60	50	64	54	44	49	48	42	47	60	52	54	44	53	41	61	53	50	41	41	56	53	56	53	68	79	54	59	47	64	63	60	57	63	51	77	70	61	57	64	47	47	67	63	49	56	47	57	58	61	58	53	64	63	51	49	55	64	59	42	64	57	42	74	144	223	226	191	205	230	194	181	145	122	123	147	158	149	148	129	84	97
50	61	59	56	54	48	49	49	59	58	58	57	48	70	46	81	46	54	61	45	44	60	64	53	59	65	40	50	46	57	49	39	54	56	39	58	52	54	49	50	65	74	60	49	56	51	57	51	49	48	50	55	54	54	55	45	58	51	58	60	66	55	69	45	48	59	58	47	47	55	62	44	53	62	52	58	67	51	46	41	59	52	54	57	49	53	55	51	50	55	38	55	49	55	59	56	58	58	56	51	63	48	62	68	52	62	49	61	60	59	47	46	70	65	75	55	147	216	211	240	207	215	182	119	140	126	172	187	195	177
54	51	50	47	58	50	75	63	65	56	72	60	56	62	65	57	56	61	55	52	65	53	49	60	58	64	60	59	51	53	44	43	54	62	63	61	59	50	66	68	64	45	53	48	63	54	53	47	56	50	49	56	44	46	77	61	47	65	49	60	50	62	63	49	50	56	50	51	42	44	60	56	54	53	59	53	46	67	45	60	63	44	53	55	58	52	32	67	52	64	55	64	49	65	55	56	56	50	51	59	63	45	51	63	69	39	49	64	47	55	40	48	56	61	50	51	76	99	186	206	203	206	202	219	222	183	139	143	128	138
64	59	62	62	48	51	56	55	55	54	62	77	50	61	59	59	64	71	60	48	45	53	52	57	51	55	69	52	55	46	57	53	59	51	71	63	49	56	48	52	58	61	58	54	50	52	47	50	64	56	44	52	53	49	58	63	54	63	63	50	54	50	54	45	42	54	44	59	55	48	62	43	40	46	37	51	49	51	57	60	46	56	47	50	54	58	50	53	53	55	62	55	69	46	50	64	59	61	52	55	67	57	48	56	60	49	46	47	66	40	48	67	62	53	62	46	65	57	62	71	111	160	198	223	221	220	204	205	145	130
52	52	66	49	48	56	57	53	55	66	52	50	49	44	54	53	55	60	60	47	46	52	50	62	65	46	54	54	60	58	53	57	54	58	47	59	50	46	38	58	59	67	55	55	69	55	51	63	51	60	48	54	47	55	52	51	63	69	61	50	37	42	52	62	61	57	52	71	58	64	44	56	41	61	46	49	54	45	62	56	60	48	62	68	46	66	60	32	54	52	49	50	49	69	56	59	55	57	49	55	47	56	56	62	51	51	59	52	75	54	56	50	45	47	56	58	41	47	51	70	70	42	74	147	172	150	193	237	219	213
52	53	49	47	58	56	54	65	50	59	55	52	63	51	48	49	64	43	56	62	61	65	52	58	54	51	50	63	66	53	59	56	57	64	58	63	63	56	68	61	59	45	54	64	64	62	43	49	49	48	60	58	60	46	41	56	44	58	52	50	56	62	51	59	59	41	50	49	57	57	44	48	55	46	57	53	67	54	48	51	47	50	84	62	42	44	45	48	43	48	52	50	61	51	59	51	55	76	58	54	57	46	49	55	63	61	60	53	58	60	61	50	49	52	62	59	61	52	52	57	48	54	67	59	82	65	85	141	94	130
65	61	69	52	42	58	68	64	36	44	76	72	72	48	67	54	46	55	65	51	39	51	59	64	47	56	52	46	71	55	63	57	58	48	48	63	60	45	67	57	53	57	56	48	55	51	50	42	52	51	40	41	58	55	59	53	75	58	49	52	55	47	52	69	46	54	44	60	54	42	55	44	52	54	62	53	50	65	53	47	45	59	49	48	57	48	59	54	54	43	54	68	54	53	57	70	58	50	55	54	63	56	67	66	72	61	64	54	59	51	59	83	57	49	53	52	56	48	37	66	58	66	53	46	51	57	45	48	52	84
58	50	51	51	47	60	51	49	44	71	52	57	60	60	66	63	65	60	53	62	54	60	70	64	63	50	30	46	45	51	65	55	61	58	74	55	48	47	63	55	51	46	48	54	55	54	53	54	53	38	51	51	49	50	49	61	45	51	38	57	63	57	44	70	45	52	51	42	58	47	52	49	59	51	46	56	48	60	51	58	56	49	52	53	45	49	65	48	62	56	52	54	58	74	59	63	56	50	48	46	75	58	72	42	60	56	61	53	50	48	57	43	51	53	65	51	61	64	55	57	60	48	57	57	50	49	56	40	52	59
62	60	58	53	61	44	51	45	49	69	64	50	50	60	61	63	64	66	53	54	48	56	57	56	57	60	64	75	53	60	51	49	70	67	64	47	65	58	55	55	53	55	56	51	56	45	60	56	58	47	62	43	66	48	52	58	60	46	49	54	53	58	51	54	50	58	65	60	50	59	73	49	54	64	53	55	50	44	61	48	50	52	56	66	47	54	59	65	60	42	47	44	51	55	53	32	57	65	54	54	58	54	72	65	51	52	56	51	54	52	61	47	61	58	54	62	38	57	64	71	41	54	54	49	66	52	42	59	60	70
56	65	48	65	38	57	47	71	56	60	61	51	54	76	61	51	46	44	68	46	64	59	57	55	54	60	54	66	55	61	60	47	63	63	54	55	59	48	40	54	54	58	53	53	50	51	49	52	57	51	56	46	54	50	61	59	65	34	40	64	48	47	65	52	34	48	45	46	65	60	57	59	48	65	42	48	54	55	72	56	47	48	46	46	69	47	65	57	61	45	46	62	58	68	50	45	61	52	41	57	56	60	46	58	54	51	45	59	57	46	61	75	43	50	50	54	51	63	58	57	56	62	68	65	52	58	51	57	55	56
45	59	54	51	48	66	64	56	57	49	69	51	54	66	51	60	58	49	65	51	52	50	54	60	36	62	69	49	54	61	57	41	65	48	45	52	68	55	58	47	56	51	56	54	57	45	42	51	60	43	49	58	43	62	72	61	46	44	41	62	48	58	50	45	42	49	55	42	61	50	55	55	54	62	51	44	57	63	49	47	50	61	57	46	45	49	52	61	56	56	58	54	69	78	56	51	44	54	70	53	54	47	50	49	51	45	64	50	67	53	51	52	52	66	78	52	68	66	64	56	50	63	49	50	57	65	49	42	62	58
66	57	53	61	53	52	52	53	60	47	69	54	54	66	55	51	58	37	48	54	55	68	52	70	66	73	46	53	54	53	64	51	72	59	54	39	47	52	40	45	59	47	70	40	55	44	43	62	59	56	53	46	41	57	75	51	46	46	54	53	38	59	48	43	64	58	53	56	60	54	52	61	63	57	57	54	54	50	53	59	51	68	61	54	53	52	47	41	71	50	56	56	63	59	47	50	56	42	56	57	56	56	57	52	66	47	67	53	66	60	59	64	62	61	58	71	52	45	46	50	56	55	59	67	43	66	52	49	65	58
48	64	55	58	68	58	54	60	54	53	63	47	59	58	62	53	79	67	61	50	59	60	57	68	64	53	45	48	62	42	60	55	60	52	47	61	51	75	58	54	58	58	66	39	60	56	61	53	67	60	61	50	59	53	60	58	41	50	50	65	35	48	43	56	42	63	50	58	57	61	46	63	55	50	48	61	54	52	58	56	41	54	55	50	66	62	46	42	57	56	50	59	62	49	39	48	53	48	46	49	59	55	40	45	51	54	64	56	62	56	45	67	64	56	60	58	72	67	38	58	63	55	56	62	54	55	59	45	58	55
53	62	59	67	49	52	46	51	34	37	66	53	65	64	50	59	60	77	55	60	55	53	68	66	53	54	52	53	53	54	59	50	58	50	68	55	59	55	61	64	37	63	56	52	48	59	68	68	57	50	56	52	51	51	57	45	42	52	69	44	51	58	58	52	44	40	55	55	56	67	51	39	57	54	48	43	64	62	58	40	58	54	57	49	47	49	58	47	59	52	59	41	58	45	44	48	49	57	42	45	47	66	52	58	66	67	56	58	59	63	49	54	54	54	63	55	54	54	56	62	73	42	59	50	59	60	52	57	68	53
53	48	46	47	48	68	60	62	41	55	53	62	54	51	46	50	56	59	63	62	68	52	61	51	60	55	57	48	48	63	54	52	55	47	58	63	43	63	51	50	64	67	45	61	42	66	55	47	59	59	62	57	62	72	64	45	36	59	49	51	65	61	49	63	53	54	61	43	55	47	62	50	61	49	47	52	48	51	40	49	70	54	53	54	42	51	49	56	56	55	58	57	58	49	54	52	68	65	57	48	45	66	45	49	62	47	54	55	61	54	42	61	52	56	55	56	55	53	59	63	58	59	49	52	40	65	55	51	57	62
